x	y	CX	CY	Type	Fileindex	Color	ROP2	Hidden	Group	AryType	AryX	AryY	AryCX	AryCY	AryNX	AryNY	AryXpos	AryYpos	AptExists	AptCX	AptCY	AptAngle	Text	Z	CZ	AryZ	AryCZ	AryNZ	AryZPos	AryAngle
33829.699219	17085.099609	11.000000	11.000000	0	1	255	13	0	2	0	33829.699219	17085.099609	258.058044	368.654388	10	1	0	1	0	0.000000	0.000000	0.000000	0	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
33858.371094	17126.060547	11.000000	11.000000	0	2	255	13	0	2	0	33829.699219	17085.099609	258.058044	368.654388	10	1	1	1	0	0.000000	0.000000	0.000000	1	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
33887.046875	17167.023438	11.000000	11.000000	0	3	255	13	0	2	0	33829.699219	17085.099609	258.058044	368.654388	10	1	2	1	0	0.000000	0.000000	0.000000	2	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
33915.718750	17207.984375	11.000000	11.000000	0	4	255	13	0	2	0	33829.699219	17085.099609	258.058044	368.654388	10	1	3	1	0	0.000000	0.000000	0.000000	3	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
33944.390625	17248.945313	11.000000	11.000000	0	5	255	13	0	2	0	33829.699219	17085.099609	258.058044	368.654388	10	1	4	1	0	0.000000	0.000000	0.000000	4	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
33973.066406	17289.908203	11.000000	11.000000	0	6	255	13	0	2	0	33829.699219	17085.099609	258.058044	368.654388	10	1	5	1	0	0.000000	0.000000	0.000000	5	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34001.738281	17330.869141	11.000000	11.000000	0	7	255	13	0	2	0	33829.699219	17085.099609	258.058044	368.654388	10	1	6	1	0	0.000000	0.000000	0.000000	6	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34030.410156	17371.830078	11.000000	11.000000	0	8	255	13	0	2	0	33829.699219	17085.099609	258.058044	368.654388	10	1	7	1	0	0.000000	0.000000	0.000000	7	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34059.085938	17412.792969	11.000000	11.000000	0	9	255	13	0	2	0	33829.699219	17085.099609	258.058044	368.654388	10	1	8	1	0	0.000000	0.000000	0.000000	8	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
34087.757813	17453.753906	11.000000	11.000000	0	10	255	13	0	2	0	33829.699219	17085.099609	258.058044	368.654388	10	1	9	1	0	0.000000	0.000000	0.000000	9	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
33867.199219	17479.199219	11.000000	11.000000	0	11	255	13	0	3	0	33867.199219	17479.199219	194.062912	-349.313263	10	1	0	1	0	0.000000	0.000000	0.000000	10	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
33888.761719	17440.386719	11.000000	11.000000	0	12	255	13	0	3	0	33867.199219	17479.199219	194.062912	-349.313263	10	1	1	1	0	0.000000	0.000000	0.000000	11	2.600000	0.000000	2.600000	0.000000	1	0	0.000000
