x	y	CX	CY	Type	Fileindex	Color	ROP2	Hidden	Group	AryType	AryX	AryY	AryCX	AryCY	AryNX	AryNY	AryXpos	AryYpos	AptExists	AptCX	AptCY	AptAngle	Text	Z	CZ	AryZ	AryCZ	AryNZ	AryZPos	AryAngle
32361.564453	27912.419922	11.000000	11.000000	0	1	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	0	0	0	0.000000	0.000000	0.000000	0	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32411.564453	27912.419922	11.000000	11.000000	0	2	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	1	0	0	0.000000	0.000000	0.000000	1	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32461.564453	27912.419922	11.000000	11.000000	0	3	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	2	0	0	0.000000	0.000000	0.000000	2	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32511.564453	27912.419922	11.000000	11.000000	0	4	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	3	0	0	0.000000	0.000000	0.000000	3	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32561.564453	27912.419922	11.000000	11.000000	0	5	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	4	0	0	0.000000	0.000000	0.000000	4	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32611.564453	27912.419922	11.000000	11.000000	0	6	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	5	0	0	0.000000	0.000000	0.000000	5	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32661.564453	27912.419922	11.000000	11.000000	0	7	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	6	0	0	0.000000	0.000000	0.000000	6	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32711.564453	27912.419922	11.000000	11.000000	0	8	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	7	0	0	0.000000	0.000000	0.000000	7	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32761.564453	27912.419922	11.000000	11.000000	0	9	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	8	0	0	0.000000	0.000000	0.000000	8	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32811.562500	27912.419922	11.000000	11.000000	0	10	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	9	0	0	0.000000	0.000000	0.000000	9	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32861.562500	27912.419922	11.000000	11.000000	0	11	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	10	0	0	0.000000	0.000000	0.000000	10	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32911.562500	27912.419922	11.000000	11.000000	0	12	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	11	0	0	0.000000	0.000000	0.000000	11	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
32961.562500	27912.419922	11.000000	11.000000	0	13	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	12	0	0	0.000000	0.000000	0.000000	12	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33011.562500	27912.419922	11.000000	11.000000	0	14	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	13	0	0	0.000000	0.000000	0.000000	13	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
33061.562500	27912.419922	11.000000	11.000000	0	15	255	13	0	20	1	32361.564453	27912.419922	4950.000000	4450.000000	100	90	14	0	0	0.000000	0.000000	0.000000	14	-3669.300049	0.000000	-3669.300049	0.000000	1	0	0.000000
